EmployeeID,FirstName,LastName,Department,Position,Salary,JoiningDate,Country
1,Robert,Wilson,HR,HR Specialist,95161,2021-03-08,Germany
2,Linda,Johnson,Engineering,Data Scientist,52274,2010-09-26,UK
3,John,Martinez,HR,HR Specialist,60963,2012-01-31,Canada
4,Robert,Smith,Marketing,Content Strategist,50701,2012-06-16,Canada
5,Mary,Wilson,IT,IT Support Specialist,78738,2014-01-28,USA
6,Mike,Clark,HR,HR Specialist,47961,2021-07-12,USA
7,John,Davis,HR,HR Specialist,75153,2010-12-02,UK
8,Emily,Lopez,Sales,Sales Manager,60042,2012-02-27,Spain
9,Jane,Johnson,HR,Recruiter,60293,2020-08-08,India
10,David,Brown,Design,Graphic Designer,98359,2022-07-31,Spain
11,James,Brown,Sales,Sales Manager,45101,2015-07-06,Canada
12,Mary,Clark,Finance,Accountant,54420,2013-09-15,Canada
13,Robert,Garcia,Sales,Sales Manager,51723,2017-08-31,Japan
14,Emily,Brown,IT,IT Support Specialist,96463,2014-11-02,Italy
15,Linda,Doe,IT,IT Support Specialist,81624,2020-09-27,Germany
16,John,Clark,Support,Customer Support Specialist,45453,2017-05-19,India
17,Emily,Smith,Marketing,Marketing Manager,73010,2011-01-16,USA
18,Emily,Wilson,Engineering,Data Scientist,56538,2019-07-08,Spain
19,Mike,Martinez,Support,Customer Support Specialist,65421,2023-03-27,Italy
20,James,Brown,HR,HR Specialist,48219,2016-02-04,Spain
21,John,Clark,HR,Recruiter,55407,2022-06-30,Australia
22,David,Garcia,Finance,Accountant,89842,2021-04-07,Spain
23,Mary,Johnson,HR,Recruiter,77383,2011-05-08,Germany
24,Mike,Davis,Design,Graphic Designer,88198,2013-11-19,Canada
25,David,Johnson,Marketing,Content Strategist,71621,2020-01-22,UK
26,Mary,Garcia,Marketing,Content Strategist,97703,2022-10-20,Spain
27,David,Brown,Marketing,Marketing Manager,89630,2017-11-26,Canada
28,Jane,Brown,Sales,Sales Manager,47733,2022-12-27,USA
29,David,Martinez,Design,UI/UX Designer,77001,2014-12-29,Australia
30,Robert,Wilson,Design,Graphic Designer,78520,2021-11-05,Australia
31,Sara,Wilson,Finance,Financial Analyst,64083,2013-11-06,France
32,Robert,Smith,Support,Customer Support Specialist,57071,2019-08-18,India
33,Robert,Johnson,HR,Recruiter,96644,2012-07-22,Spain
34,Linda,Garcia,Marketing,Marketing Manager,62853,2021-05-07,Italy
35,John,Lopez,Design,Graphic Designer,96791,2023-05-31,Spain
36,David,Smith,Finance,Accountant,85105,2020-08-11,Germany
37,David,Brown,HR,Recruiter,87515,2016-03-31,Spain
38,David,Davis,Sales,Sales Executive,97686,2021-09-28,France
39,John,Doe,Support,Technical Support,74106,2022-06-07,Australia
40,Mary,Garcia,Design,UI/UX Designer,89883,2016-02-02,Spain
41,Sara,Clark,Design,UI/UX Designer,64726,2018-08-27,Australia
42,Jane,Martinez,Engineering,Data Scientist,46659,2022-10-06,India
43,Robert,Lopez,Design,UI/UX Designer,63255,2020-05-04,UK
44,Mary,Doe,Finance,Financial Analyst,93955,2023-01-17,UK
45,Emily,Doe,Finance,Accountant,74482,2010-02-13,France
46,Jane,Smith,HR,Recruiter,91451,2017-08-06,Spain
47,Mary,Johnson,Support,Technical Support,66367,2012-05-01,India
48,Jane,Wilson,Sales,Sales Executive,80260,2018-08-16,Italy
49,Mary,Martinez,Sales,Sales Executive,75481,2016-01-30,USA
50,Linda,Martinez,Design,UI/UX Designer,79589,2010-02-16,Australia
51,Sara,Smith,Sales,Sales Executive,70290,2019-08-09,Germany
52,David,Garcia,IT,System Administrator,84535,2018-07-29,India
53,James,Davis,HR,Recruiter,76778,2021-01-30,UK
54,David,Martinez,Marketing,Marketing Manager,66870,2023-08-17,Italy
55,Jane,Johnson,Support,Customer Support Specialist,65093,2023-07-08,India
56,John,Smith,Support,Technical Support,70316,2010-06-22,Canada
57,Mary,Clark,Sales,Sales Manager,52423,2019-03-08,USA
58,Robert,Johnson,Support,Customer Support Specialist,87377,2016-02-22,Italy
59,Mary,Wilson,Marketing,Content Strategist,45808,2012-10-11,Germany
60,Emily,Lopez,Design,Graphic Designer,47387,2012-04-21,Japan
61,David,Brown,Marketing,Marketing Manager,83464,2010-05-19,Spain
62,Linda,Smith,Marketing,Marketing Manager,66549,2015-04-05,UK
